"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"TIGD6",0.583126323398425,1.10416278020871,2.81291337744473,0.00579750299112084,0.999798845119145,-2.35544519250429
"KIR2DP1",0.53641734756214,0.53844631552432,2.80482734557817,0.0059349917223703,0.999798845119145,-2.37204204800366
"RN7SL238P",0.726861091434931,1.48438597830812,2.80340577150239,0.00595946862379866,0.999798845119145,-2.37495573214875
"LINC01145",0.36770729597039,0.627805887327333,2.80291875507597,0.00596787533105832,0.999798845119145,-2.37595364465626
"PTPRN2-AS1",0.690357522184325,1.93225431346997,2.80236963179921,0.00597736709229813,0.999798845119145,-2.37707864149572
"RFC3",0.601540224926622,1.67211679339352,2.78667649110059,0.00625452218941885,0.999798845119145,-2.4091510954841
"LINC01506",0.68315867216119,1.78240868659533,2.76168894480356,0.00672009675232108,0.999798845119145,-2.45990565216134
"FRG1BP",0.786789256999545,4.12481055544043,2.7490677784548,0.00696706518798641,0.999798845119145,-2.48539500854547
"TACSTD2",0.750392766744041,1.40200989106054,2.74164483413296,0.00711614604496862,0.999798845119145,-2.50034007586114
"ERP27",0.673453677630852,1.26356692690789,2.74001243742964,0.00714931759295637,0.999798845119145,-2.5036220933762
"TPGS2",0.355362218432152,3.2972710062335,2.73868721682828,0.00717635046846325,0.999798845119145,-2.50628530064544
"SNORA65",-1.23728580713646,2.88513344161797,-2.73774969694187,0.00719553084302924,0.999798845119145,-2.50816871291942
"STARD13",0.502382815333891,1.50214568936518,2.73180537595697,0.00731823243595993,0.999798845119145,-2.52009773045102
"LINC01686",0.520146250265195,0.572300788048368,2.72642300015205,0.00743097237136265,0.999798845119145,-2.53088008504343
"TMEM37",0.442474364271665,0.528715292185643,2.72055013167509,0.0075557853026732,0.999798845119145,-2.54262445521567
"CYP2E1",0.467681240133448,0.914606200515963,2.72013792992615,0.00756461673905291,0.999798845119145,-2.5434479558522
"C3orf14",0.48735468639233,1.09399770461015,2.71889389021945,0.00759132722548606,0.999798845119145,-2.54593266834553
"CMTM3",0.443136788784299,4.01622109538324,2.71709862866258,0.00763002392211,0.999798845119145,-2.54951663208395
